"Song_Name","Artist","Feature_Artists","Album","Duration","Subgenre","Tempo_BPM","Key_Signature","Album_Release_Date"
"Still Alive","PLAZA","","Nocturnes","198","Alternative R&B","147","G Minor","2021-10-01"
"Stop Breathing","Playboi Carti","","Whole Lotta Red","218","Vapor Trap","155","A Major","2020-12-25"
"Streams","LVNDVN","","Streams","240","Alternative R&B","120","F Minor","2019-11-22"
"Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lana Del Rey","A$AP Rocky, Playboi Carti","Lust for Life","260","Indie Pop","135","C# Major","2017-07-21"
"Summer Sauga","Hiddenhillsforever","","Summer Sauga","227","Trap Soul","90","A# Minor","2021-09-03"
"Sundress","A$AP Rocky","","Sundress","158","Psychadelic Rock","125","F# Major","2018-11-20"
"Tattoed Lyrics","Artie J","","Emotional Indulgence","209","Trap Soul","83","F Major","2021-10-08"
"Tell Your Friends","The Weeknd","","Beauty Behind The Madness","334","Contemporary R&B","75","C# Minor","2015-08-28"
"the BLACK seminole.","Lil Yatchy","","Let's Start Here","411","Psychadelic Rock","114","A Minor","2023-01-27"
"The Fall","The Weeknd","","Trilogy","345","Alternative R&B","75","C# Major","2012-11-13"
"The Knowing","The Weeknd","","Trilogy","340","Alternative R&B","86","F# Minor","2012-11-13"
"The Morning","The Weeknd","","Trilogy","312","Alternative R&B","120","F# Minor","2012-11-13"
"The Party & The After Party","The Weeknd","","Trilogy","459","Alternative R&B","204","F Minor","2012-11-13"
"the ride-","Lil Yatchy","","Let's Start Here","190","Psychadelic Rock","152","C# Minor","2023-01-27"
"THE SUN","KayCyy","Gesaffelstein","TW20 50","188","Vapor Trap","133","G# Major","2022-03-11"
"The Zone","The Weeknd","Drake","Trilogy","418","Alternative R&B","140","D# Minor","2012-11-13"
"Thought It Was A Drought","Future","","DS2 (Deluxe)","265","Trap","125","D Major","2015-07-17"
"TIME FOR YOU","FRVRFRIDAY","","TIME FOR YOU","203","Trap Soul","125","F Minor","2021-03-05"
"Too Many Times","Norman Perry","","XX2","200","Trap Soul","102","D Major","2018-10-02"
"Top Floor","Lyfe Harris","","Since We're Here","126","Trap Soul","106","C# Minor","2020-04-04"
"Tragedy","PLAZA","","Tragedy","233","Alternative R&B","85","D# Minor","2015-05-26"
"Transparency","SoFaygo","","Pink Heartz","148","Vapor Trap","149","D Major","2022-11-11"
"Turban","Yeat","","Up 2 Më","155","Vapor Trap","148","C# Major","2021-09-10"
"Turn On Me","Future","","HNDRXX","264","Trap","127","B Major","2017-07-27"
"Twenty Eight","The Weeknd","","Trilogy","258","Alternative R&B","130","D# Minor","2012-11-13"
"Twisted Paradise","Artie J","","Twisted Paradise","272","Trap Soul","145","E Minor","2021-05-10"
"ULTRA VIOLET","Thouxanbanfauni","","CLAIRVOYANCE","157","Vapor Trap","160","C# Minor","2020-07-21"
"Uncontrollable","Artie J","","Emotional Indulgence","141","Trap Soul","112","A# Major","2021-10-08"
"Unwanted","Artie J","","Emotional Indulgence","250","Trap Soul","118","C# Minor","2021-10-08"
"Use Me","PLAZA","","Nocturnes","238","Alternative R&B","147","B Minor","2021-10-01"
"Vamp Anthem","Playboi Carti","","Whole Lotta Red","124","Trap","164","B Major","2020-12-25"
"VETERAN (feat. Ken Carson)","Destroy Lonely","Ken Carson","NO STYLIST","176","Vapor Trap","147","D Major","2022-08-12"
"Vision","Norman Perry","","Way Darker This Time","131","Trap Soul","131","C# Major","2020-04-10"
"WAIT FOR U (feat. Drake & Tems)","Future","Drake, Tems","I NEVER LIKED YOU","189","Trap","83","C# Major","2022-04-29"
"Wall Maria","FRVRFRIDAY","","Wall Maria","148","Trap","120","D# Minor","2018-10-12"
"Wanderlust","The Weeknd","","Kiss Land","306","Alternative R&B","116","C# Minor","2013-01-01"
"Wanting You","PLAZA","","One","240","Alternative R&B","112","F# Minor","2016-08-29"
"Water","PLAZA","","One","181","Alternative R&B","104","C# Minor","2016-08-29"
"Waterfalls","LVNDVN","","Moon Lit District","214","Alternative R&B","151","A Minor","2017-09-15"
"WEST DISTRICT","PARTYNEXTDOOR","","PARTYPACK","303","Trap Soul","95","C# Major","2020-10-16"
"What You Need","The Weeknd","","Trilogy","196","Alternative R&B","134","C Minor","2012-11-13"
"Where Ya At (feat. Drake)","Future","Drake","DS2 (Deluxe)","208","Trap","162","C# Major","2015-07-17"
"White Dress","Lana Del Rey","","Chemtrails Over The Country Club","333","Indie Pop","123","C Major","2021-03-19"
"Why Can't I","Artie J","","I Hate Pretty Girls","204","Trap Soul","96","D# Minor","2020-02-16"
"Wicked Games","The Weeknd","","Trilogy","323","Alternative R&B","114","A Major","2012-11-13"
"Wus Good / Curious","PARTYNEXTDOOR","","PARTYNEXTDOOR","212","Trap Soul","83","B Major","2013-07-01"
"You Know","Lyfe Harris","","Nothing New","179","Trap Soul","89","F Minor","2021-02-10"
