Date_Listened,Song_Name,Artist,Feature_Artists,Album,Duration,Genre,Subgenre,Tempo_BPM,Key_Signature,Album_Release_Date
2023/02/03,Dark Hearted,Freddie Gibbs,,$oul $old $eparately,205,Hip-Hop,Rap,96,D# Minor,2022/09/30
2023/02/04,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,"A$AP Rocky, Playboi Carti",Lust for Life,260,Pop,Indie Pop,135,C# Major,2017/07/21
2023/02/04,Cash Flow,TYuS,,Cash Flow,194,R&B,Trap Soul,99,G# Major,2015/11/24
2023/02/04,Wus Good / Curious,PARTYNEXTDOOR,,PARTYNEXTDOOR,212,R&B,Trap Soul,83,B Major,2013/07/01
2023/02/04,The Party & The After Party,The Weeknd,,Trilogy,459,R&B,Alternative R&B,204,F Minor,2012/11/13
2023/02/04,Recognize (feat. Drake),PARTYNEXTDOOR,Drake,PARTYNEXTDOOR TWO,311,R&B,Trap Soul,120,D Major,2014/07/29
2023/02/04,The Fall,The Weeknd,,Trilogy,345,R&B,Alternative R&B,75,C# Major,2012/11/13
2023/02/04,Break From Toronto,PARTYNEXTDOOR,,PARTYNEXTDOOR,99,R&B,Trap Soul,117,A Major,2013/07/01
2023/02/04,Shotgun,Future,,SAVE ME,258,R&B,Trap Soul,128,D Major,2019/06/07
2023/02/04,Rebel,Norman Perry,,Way Darker This Time,153,R&B,Trap Soul,125,D# Minor,2020/04/10
2023/02/04,Sky,Playboi Carti,,Whole Lotta Red,193,Hip-Hop,Vapor Trap,140,D Major,2020/12/25
2023/02/04,Kinda Like It,Black Atlass,,Pain & Pleasure,265,R&B,Alternative R&B,83,B Minor,2018/07/12
2023/02/04,Bentley Keys,Lyfe Harris,,Bentley Keys,145,R&B,Trap Soul,108,F Minor,2020/10/23
2023/02/04,Nobody Knows,PLAZA,,Nocturnes,254,R&B,Alternative R&B,147,C Minor,2021/10/01
2023/02/04,I Want You,Artie J,,I Hate Pretty Girls,187,R&B,Trap Soul,110,C# Major,2020/02/16
2023/02/04,Money Mission (Unplugged),Lyfe Harris,,Money Mission (Unplugged),196,R&B,Trap Soul,144,F Major,2021/08/13
2023/02/04,Backseat,Joe Trufant,,Fall Through 2,209,R&B,Contemporary R&B,102,D Minor,2020/04/10
2023/02/04,I Want Her Too,Artie J,,Emotional Indulgence,172,R&B,Trap Soul,90,B Minor,2021/10/08
2023/02/04,Hamptons,Lyfe Harris,,Hamptons,168,R&B,Trap Soul,97,C# Minor,2020/09/24
2023/02/04,Cash Flow,TYuS,,Cash Flow,194,R&B,Trap Soul,99,G# Major,2015/11/24
2023/02/04,Don't Panic,Lyfe Harris,,Don't Panic,112,R&B,Trap Soul,108,A# Minor,2020/01/06
2023/02/04,Remembrance,Lyfe Harris,,Remembrance,158,R&B,Trap Soul,194,D# Minor,2021/09/01
2023/02/04,Top Floor,Lyfe Harris,,Since We're Here,126,R&B,Trap Soul,106,C# Minor,2020/04/04
2023/02/04,Doll House,Lyfe Harris,,Since We're Here,135,R&B,Trap Soul,108,G Major,2020/04/04
2023/02/04,Medals,Lyfe Harris,,Since We're Here,148,R&B,Trap Soul,102,102,2020/04/04
2023/02/04,Pawn,Lyfe Harris,,Since We're Here,153,R&B,Trap Soul,100,E Major,2020/04/04
2023/02/04,High For This,The Weeknd,,Trilogy,247,R&B,Alternative R&B,75,B Minor,2012/11/13
2023/02/04,What You Need,The Weeknd,,Trilogy,196,R&B,Alternative R&B,134,C Minor,2012/11/13
2023/02/04,House of Balloons / Glass Table Girls,The Weeknd,,Trilogy,405,R&B,Alternative R&B,89,C Major,2012/11/13
2023/02/04,The Morning,The Weeknd,,Trilogy,312,R&B,Alternative R&B,120,F# Minor,2012/11/13
2023/02/04,Wicked Games,The Weeknd,,Trilogy,323,R&B,Alternative R&B,114,A Major,2012/11/13
2023/02/04,The Party & The After Party,The Weeknd,,Trilogy,459,R&B,Alternative R&B,204,F Minor,2012/11/13
2023/02/04,Coming Down,The Weeknd,,Trilogy,295,R&B,Alternative R&B,121,D Minor,2012/11/13
2023/02/04,Loft Music,The Weeknd,,Trilogy,363,R&B,Alternative R&B,172,F# Minor,2012/11/13
